,Word,Pinyin,Level,First Translation,Other Translations,Duplicate Pinyin
2612,國立,guólì,6,national,"state-run, public",
2613,國旗,guóqí,6,flag (of a country),CL:面[mian4],
2614,國小,guóxiǎo,6,elementary school (Taiwan),abbr. for 國民小學|国民小学[guo2 min2 xiao3 xue2],
2615,國中,guózhōng,6,junior high school (Taiwan),abbr. for 國民中學|国民中学[guo2 min2 zhong1 xue2],
2616,果然,guǒrán,6,really,"sure enough, as expected, if indeed",
2617,過程,guòchéng,6,course of events,"process, CL:個|个[ge4]",
2618,過度,guòdù,6,excessive,"over-, excess, going too far, extravagant, intemperate, overdue",Duplicate Pinyin
2619,過渡,guòdù,6,to cross over (by ferry),"transition, interim, caretaker (administration)",Duplicate Pinyin
2620,過節,guòjié,6,to celebrate a festival,after the celebrations (i.e. once the festival is over),
2621,過濾,guòlǜ,6,to filter,filter,
2622,過期,guòqí,6,to be overdue,"to exceed the time limit, to expire (as in expiration date)",
2623,過世,guòshì,6,to die,to pass away,
2624,還不如,háibùrú,6,to be better off ...,might as well ...,
2625,還有,háiyǒu,6,furthermore,"in addition, still, also",
2626,海關,hǎiguān,6,customs (i.e. border crossing inspection),CL:個|个[ge4],
2627,海軍,hǎijūn,6,navy,,
2628,海外,hǎiwài,6,overseas,abroad,
2629,海峽,hǎixiá,6,channel,strait,
2630,海鮮,hǎixiān,6,seafood,,
2631,害處,hàichù,6,damage,"harm, CL:個|个[ge4]",
2632,含量,hánliàng,6,content,quantity contained,
2633,寒冷,hánlěng,6,cold (climate),"frigid, very cold",
2634,喊,hǎn,6,to yell,"to shout, to call out for (a person)",
2635,行業,hángyè,6,industry,business,
2636,毫無,háowú,6,not in the least,to completely lack,
2637,好在,hǎozài,6,luckily,fortunately,
2638,耗,hào,6,to waste,"to spend, to consume, to squander, news, (coll.) to delay, to dilly-dally",
2639,好客,hàokè,6,hospitality,"to treat guests well, to enjoy having guests, hospitable, friendly",
2640,好奇,hàoqí,6,inquisitive,"curious, inquisitiveness, curiosity",
2641,號召,hàozhào,6,to call,to appeal,
2642,合不來,hébulái,6,unable to get along together,incompatible,
2643,合成,héchéng,6,to compose,"to constitute, compound, synthesis, mixture, synthetic",
2644,合得來,hédelái,6,to get along well,"compatible, also written 和得來|和得来[he2 de5 lai2]",
2645,合法,héfǎ,6,lawful,"legitimate, legal",
2646,合格,hégé,6,to meet the standard required,"qualified, eligible (voter etc)",
2647,合乎,héhū,6,to accord with,conforming to,
2648,合理,hélǐ,6,rational,"reasonable, fair",
2649,合適,héshì,6,suitable,"fitting, appropriate",
2650,合算,hésuàn,6,worthwhile,"to be a good deal, to be a bargain, to reckon up, to calculate",Duplicate Pinyin
2651,和好,héhǎo,6,to become reconciled,on good terms with each other,
2652,和平,hépíng,6,peace,"peaceful, Heping district of Shenyang city 沈陽市|沈阳市, Liaoning, Hoping township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan",
2653,和氣,héqì,6,friendly,"polite, amiable",
2654,何必,hébì,6,there is no need,why should,
2655,何況,hékuàng,6,let alone,"to say nothing of, besides, what's more",
2656,河流,héliú,6,river,CL:條|条[tiao2],
2657,嘿,hēi,6,hey,,
2658,黑暗,hēiàn,6,dark,"darkly, darkness",
2659,黑夜,hēiyè,6,night,,
2660,痕跡,hénjī,6,vestige,"mark, trace",
2661,橫,héng,6,horizontal,"across, (horizontal character stroke), harsh and unreasonable, unexpected",
2662,喉嚨,hóulong,6,throat,larynx,
2663,猴子,hóuzi,6,monkey,CL:隻|只[zhi1],
2664,後代,hòudài,6,descendant,"progeny, posterity, later ages, later generations",
2665,後方,hòufāng,6,the rear,far behind the front line,
2666,後果,hòuguǒ,6,consequences,aftermath,
2667,後悔,hòuhuǐ,6,to regret,to repent,
2668,後年,hòunián,6,the year after next,,
2669,後頭,hòutou,6,behind,"the back, the rear, later, afterwards, (in) the future",
2670,後退,hòutuì,6,to recoil,"to draw back, to fall back, to retreat",
2671,後院,hòuyuàn,6,rear court,"back garden, backyard (also fig.)",
2672,呼吸,hūxī,6,to breathe,,
2673,忽略,hūlüè,6,to neglect,"to overlook, to ignore",
2674,忽視,hūshì,6,to neglect,to ignore,
2675,蝴蝶,húdié,6,butterfly,CL:隻|只[zhi1],
2676,鬍子,húzi,6,beard,"mustache or whiskers, facial hair, (coll.) bandit, CL:撮[zuo3],根[gen1]",
2677,戶,hù,6,a household,"door, family",
2678,戶外,hùwài,6,outdoor,,
2679,互助,hùzhù,6,to help each other,"Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai",
2680,花草,huācǎo,6,flowers and plants,,
2681,花費,huāfèi,6,expense,"cost, to spend (time or money), expenditure",
2682,花盆,huāpén,6,flower pot,,
2683,花瓶,huāpíng,6,flower vase,"fig. just a pretty face, CL:對|对[dui4]",
2684,花色,huāsè,6,variety,"design and color, suit (cards)",
2685,花生,huāshēng,6,peanut,"groundnut, CL:粒[li4]",
2686,划,huá,6,to cut,"to slash, to scratch (cut into the surface of sth), to strike (a match), to delimit, to transfer, to assign, to plan, to draw (a line), stroke of a Chinese character",
2687,華僑,huáqiáo,6,overseas Chinese,"(in a restricted sense) Chinese emigrant who still retains Chinese nationality, CL:個|个[ge4],位[wei4],名[ming2]",
2688,華人,huárén,6,ethnic Chinese person or people,,
2689,化學,huàxué,6,chemistry,chemical,
2690,化妝,huàzhuāng,6,to put on makeup,,Duplicate Pinyin
2691,化裝,huàzhuāng,6,(of actors) to make up,to disguise oneself,Duplicate Pinyin
2692,懷念,huáiniàn,6,to cherish the memory of,"to think of, reminisce",
2693,懷孕,huáiyùn,6,pregnant,"to have conceived, gestation, pregnancy",
2694,壞蛋,huàidàn,6,bad egg,"scoundrel, bastard",
2695,歡呼,huānhū,6,to cheer for,to acclaim,
2696,歡樂,huānlè,6,gaiety,"gladness, glee, merriment, pleasure, happy, joyous, gay",
2697,歡喜,huānxǐ,6,happy,"joyous, delighted, to like, to be fond of",
2698,緩和,huǎnhé,6,to ease (tension),"to alleviate, to moderate, to allay, to make more mild",
2699,緩慢,huǎnmàn,6,slow,slow-moving,
2700,幻想,huànxiǎng,6,delusion,fantasy,
2701,慌,huāng,6,to get panicky,"to lose one's head, (coll.) (after 得) unbearably, terribly",
2702,皇帝,huángdì,6,emperor,CL:個|个[ge4],
2703,黃豆,huángdòu,6,soybean,,
2704,黃昏,huánghūn,6,dusk,"evening, nightfall",
2705,灰,huī,6,ash,"dust, lime, gray, discouraged, dejected",
2706,灰色,huīsè,6,gray,"ash gray, grizzly, pessimistic, gloomy, dispirited, ambiguous",
2707,灰心,huīxīn,6,to lose heart,to be discouraged,
2708,回電,huídiàn,6,to reply to a telegram,to wire back,
2709,回教,huíjiào,6,Islam,,
2710,回收,huíshōu,6,to recycle,"to reclaim, to retrieve, to recover, to recall (a defective product)",
2711,回頭,huítóu,6,to turn round,"to turn one's head, later, by and by",
2712,回信,huíxìn,6,to reply,"to write back, letter written in reply, CL:封[feng1]",
2713,回憶,huíyì,6,to recall,"memories, CL:個|个[ge4]",
2714,匯款,huìkuǎn,6,to remit money,remittance,
2715,會員,huìyuán,6,member,,
2716,昏倒,hūndǎo,6,to faint,,
2717,昏迷,hūnmí,6,to lose consciousness,"to be in a coma, stupor, coma, stunned, disoriented",
2718,混合,hùnhé,6,to mix,"to blend, hybrid, composite",
2719,活該,huógāi,6,(coll.) serve sb right,"deservedly, ought, should",
2720,活力,huólì,6,energy,"vitality, vigor, vital force",
2721,活潑,huópō,6,lively,"vivacious, brisk, active, (chemistry) reactive",
2722,活躍,huóyuè,6,active,"lively, excited, to enliven, to brighten up",
2723,火柴,huǒchái,6,match (for lighting fire),"CL:根[gen1],盒[he2]",
2724,火腿,huǒtuǐ,6,ham,CL:個|个[ge4],
2725,火災,huǒzāi,6,fire (that burns buildings etc),,
2726,或多或少,huòduōhuòshǎo,6,more or less,,
2727,或者,huòzhě,6,or,"possibly, maybe, perhaps",
2728,貨物,huòwù,6,goods,"commodity, merchandise, CL:宗[zong1]",
2729,獲得,huòdé,6,to obtain,"to receive, to get",
2730,肌肉,jīròu,6,muscle,flesh,
2731,基本上,jīběnshàng,6,basically,on the whole,
2732,基金,jījīn,6,fund,,
2733,幾乎,jīhū,6,almost,"nearly, practically",
2734,機構,jīgòu,6,mechanism,"structure, organization, agency, institution, CL:所[suo3]",
2735,機關,jīguān,6,mechanism,"gear, machine-operated, office, agency, organ, organization, establishment, institution, body, stratagem, scheme, intrigue, plot, trick, CL:個|个[ge4]",
2736,機票,jīpiào,6,air ticket,"passenger ticket, CL:張|张[zhang1]",
2737,機械,jīxiè,6,machine,"machinery, mechanical, (old) cunning, scheming",
2738,及格,jígé,6,to pass an exam or a test,to meet a minimum standard,
2739,及時,jíshí,6,in time,"promptly, without delay, timely",Duplicate Pinyin
2740,即將,jíjiāng,6,on the eve of,"to be about to, to be on the verge of",
2741,即使,jíshǐ,6,even if,even though,
2742,極其,jíqí,6,extremely,,
2743,集,jí,6,to gather,"to collect, collected works, classifier for sections of a TV series etc: episode",Duplicate Pinyin
2744,集合,jíhé,6,to gather,"to assemble, set (mathematics)",
2745,集郵,jíyóu,6,stamp collecting,philately,
2746,集中,jízhōng,6,to concentrate,"to centralize, to focus, centralized, concentrated, to put together",
2747,疾病,jíbìng,6,disease,"sickness, ailment",
2748,急忙,jímáng,6,hastily,,
2749,寂寞,jímò,6,lonely,"lonesome, (of a place) quiet, silent",
2750,既然,jìrán,6,since,"as, this being the case",
2751,技術,jìshù,6,technology,"technique, skill, CL:門|门[men2],種|种[zhong3],項|项[xiang4]",
2752,計算,jìsuàn,6,to count,"to calculate, to compute, CL:個|个[ge4]",
2753,計較,jìjiào,6,to bother about,"to haggle, to bicker, to argue, plan, stratagem",
2754,記性,jìxìng,6,memory (ability to retain information),,
2755,記載,jìzài,6,to write down,"to record, written account",
2756,記住,jìzhù,6,to remember,"to bear in mind, to learn by heart",
2757,加班,jiābān,6,to work overtime,,
2758,加工,jiāgōng,6,to process,"processing, working (of machinery)",
2759,加速,jiāsù,6,to speed up,to expedite,
2760,加以,jiāyǐ,6,in addition,"moreover, (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned), to apply (restrictions etc) to (sb), to give (support, consideration etc) to (sth)",
2761,家事,jiāshì,6,family matters,"domestic affairs, housework",
2762,夾,jiá,6,to press from either side,"to place in between, to sandwich, to carry sth under armpit, wedged between, between, to intersperse, to mix, to mingle, clip, folder, Taiwan pr. [jia2], double-layered, lined (garment), Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]",
2763,甲,jiǎ,6,first of the ten Heavenly Stems 十天干[shi2 tian1 gan1],"(used for an unspecified person or thing), first (in a list, as a party to a contract etc), letter ""A"" or Roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc, armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit (old), ancient Chinese compass point: 75°",
2764,嫁,jià,6,(of a woman) to marry,"to marry off a daughter, to shift (blame etc)",
2765,駕駛,jiàshǐ,6,"to pilot (ship, airplane etc)",to drive,
2766,尖,jiān,6,point (of needle),"sharp, shrewd, pointed",Duplicate Pinyin
2767,尖銳,jiānruì,6,sharp,"intense, penetrating, pointed, acute (illness)",
2768,兼,jiān,6,double,"twice, simultaneous, holding two or more (official) posts at the same time",Duplicate Pinyin
2769,堅定,jiāndìng,6,firm,"steady, staunch, resolute",
2770,堅決,jiānjué,6,firm,"resolute, determined",
2771,監視,jiānshì,6,to monitor,"to keep a close watch over, surveillance",
2772,監獄,jiānyù,6,prison,,
2773,揀,jiǎn,6,to choose,"to pick, to sort out, to pick up",Duplicate Pinyin
2774,撿,jiǎn,6,to pick up,"to collect, to gather",Duplicate Pinyin
2775,剪刀,jiǎndāo,6,scissors,CL:把[ba3],
2776,檢驗,jiǎnyàn,6,to inspect,"to examine, to test",
2777,建國,jiànguó,6,to found a country,"nation-building, the foundation of PRC by Mao Zedong in 1949",
2778,建築,jiànzhú,6,to construct,"building, CL:個|个[ge4]",
2779,箭,jiàn,6,arrow,CL:支[zhi1],Duplicate Pinyin
2780,漸漸,jiànjiàn,6,gradually,,
2781,間接,jiànjiē,6,indirect,,
2782,鍵盤,jiànpán,6,keyboard,,
2783,健全,jiànquán,6,robust,sound,
2784,江,jiāng,6,river,"surname Jiang, CL:條|条[tiao2],道[dao4]",
2785,將要,jiāngyào,6,will,"shall, to be going to",
2786,獎金,jiǎngjīn,6,premium,"award money, bonus",
2787,獎品,jiǎngpǐn,6,award,prize,
2788,降價,jiàngjià,6,to cut the price,"to drive down the price, to get cheaper",
2789,澆,jiāo,6,to pour liquid,"to irrigate (using waterwheel), to water, to cast (molten metal), to mold",Duplicate Pinyin
2790,交代,jiāodai,6,to hand over,"to explain, to make clear, to brief (sb), to account for, to justify oneself, to confess, (coll.) to finish",
2791,交換,jiāohuàn,6,to exchange,"to swap, to switch (telecom), commutative (math), to commute",
2792,交際,jiāojì,6,communication,social intercourse,
2793,交往,jiāowǎng,6,to associate (with),"to have contact (with), to hang out (with), to date, (interpersonal) relationship, association, contact",
2794,交易,jiāoyì,6,(business) transaction,"business deal, CL:筆|笔[bi3]",
2795,郊外,jiāowài,6,outskirts,,
2796,角落,jiǎoluò,6,nook,corner,
2797,繳,jiǎo,6,to hand in,"to hand over, to seize",Duplicate Pinyin
2798,腳步,jiǎobù,6,footstep,step,
2799,叫喊,jiàohǎn,6,exclamation,"outcry, shout, yell",
2800,教會,jiàohuì,6,to show,"to teach, Christian church",
2801,教學,jiàoxué,6,to teach,"teaching and learning, education, CL:門|门[men2],個|个[ge4]",
2802,接待,jiēdài,6,to receive (a visitor),to admit (allow sb to enter),
2803,接到,jiēdào,6,to receive (letter etc),,Duplicate Pinyin
2804,接見,jiējiàn,6,to receive sb,to grant an interview,
2805,接近,jiējìn,6,to approach,to get close to,
2806,街道,jiēdào,6,street,"subdistrict, residential district, CL:條|条[tiao2]",Duplicate Pinyin
2807,街頭,jiētóu,6,street,,
2808,階段,jiēduàn,6,stage,"section, phase, period, CL:個|个[ge4]",
2809,節省,jiéshěng,6,saving,"to save, to use sparingly, to cut down on",
2810,節約,jiéyuē,6,to economize,"to conserve (resources), economy, frugal",
2811,結構,jiégòu,6,structure,"composition, makeup, architecture, CL:座[zuo4],個|个[ge4]",
2812,結合,jiéhé,6,to combine,"to link, to integrate, binding, CL:次[ci4]",
2813,結論,jiélùn,6,conclusion,"verdict, to conclude, to reach a verdict, CL:個|个[ge4]",
2814,結算,jiésuàn,6,to settle a bill,to close an account,
2815,結帳,jiézhàng,6,to pay the bill,"to settle accounts, also written 結賬|结账",
2816,截止,jiézhǐ,6,to close,"to stop, to put a stop to sth, cut-off point, stopping point, deadline",
2817,解除,jiěchú,6,to remove,"to sack, to get rid of, to relieve (sb of their duties), to free, to lift (an embargo), to rescind (an agreement)",
2818,解答,jiědá,6,answer,"explanation, solution (to a math equation)",
2819,屆,jiè,6,to arrive at (place or time),"period, to become due, classifier for events, meetings, elections, sporting fixtures, years (of graduation)",Duplicate Pinyin
2820,界線,jièxiàn,6,limits,"bounds, dividing line",
2821,戒指,jièzhǐ,6,(finger) ring,,
2822,今後,jīnhòu,6,hereafter,"henceforth, in the future, from now on",
2823,金額,jīné,6,sum of money,monetary value,
2824,金融,jīnróng,6,banking,"finance, financial",
2825,金屬,jīnshǔ,6,metal,CL:種|种[zhong3],
2826,儘量,jǐnliàng,6,as much as possible,to the greatest extent,
2827,緊急,jǐnjí,6,urgent,emergency,
2828,僅僅,jǐnjǐn,6,barely,"only, merely, only (this and nothing more)",
2829,近來,jìnlái,6,recently,lately,Duplicate Pinyin
2830,近視,jìnshì,6,shortsighted,"nearsighted, myopia",
2831,盡力,jìnlì,6,to strive one's hardest,to spare no effort,
2832,進入,jìnrù,6,to enter,"to join, to go into",
2833,進口,jìnkǒu,6,to import,"imported, entrance, inlet (for the intake of air, water etc)",
2834,禁止,jìnzhǐ,6,to prohibit,"to forbid, to ban",
2835,浸,jìn,6,to immerse,"to soak, to steep, gradually",Duplicate Pinyin
2836,精彩,jīngcǎi,6,wonderful,"marvelous, brilliant",
2837,精力,jīnglì,6,energy,,Duplicate Pinyin
2838,精細,jīngxì,6,fine,"meticulous, careful",
2839,經濟,jīngjì,6,economy,economic,
2840,經歷,jīnglì,6,experience,"to experience, to go through, CL:個|个[ge4],次[ci4]",Duplicate Pinyin
2841,經營,jīngyíng,6,to engage in (business etc),"to run, to operate",
2842,京劇,jīngjù,6,Beijing opera,"CL:場|场[chang3],出[chu1]",
2843,驚人,jīngrén,6,astonishing,,
2844,警告,jǐnggào,6,to warn,to admonish,
2845,景色,jǐngsè,6,scenery,"scene, landscape, view",
2846,敬愛,jìngài,6,respect and love,,
2847,敬酒,jìngjiǔ,6,to toast,to propose a toast,
2848,敬禮,jìnglǐ,6,to salute,salute,
2849,淨化,jìnghuà,6,to purify,,
2850,竟然,jìngrán,6,unexpectedly,"to one's surprise, in spite of everything, in that crazy way, actually, to go as far as to",
2851,競爭,jìngzhēng,6,to compete,competition,
2852,糾正,jiūzhèng,6,to correct,to make right,
2853,酒會,jiǔhuì,6,drinking party,wine reception,
2854,就是說,jiùshìshuō,6,in other words,that is,
2855,就業,jiùyè,6,to get a job,employment,
2856,救火,jiùhuǒ,6,to put out a fire,firefighting,
2857,究竟,jiùjìng,6,to go to the bottom of a matter,"after all, when all is said and done, (in an interrogative sentence) finally, outcome, result",
2858,居民,jūmín,6,resident,inhabitant,
2859,居然,jūrán,6,unexpectedly,"to one's surprise, go so far as to",
2860,鞠躬,júgōng,6,to bow,(literary) to bend down,
2861,巨大,jùdà,6,huge,"immense, very large, tremendous, gigantic, enormous",
2862,具備,jùbèi,6,to possess,"to have, equipped with, able to fulfill (conditions or requirements)",
2863,具體,jùtǐ,6,concrete,"definite, specific",
2864,俱樂部,jùlèbù,6,club (the organisation or its premises) (loanword),CL:個|个[ge4],
2865,聚集,jùjí,6,to assemble,to gather,
2866,劇場,jùchǎng,6,theater,CL:個|个[ge4],
2867,劇烈,jùliè,6,violent,"acute, severe, fierce",
2868,劇院,jùyuàn,6,theater,"CL:家[jia1],座[zuo4]",
2869,據說,jùshuō,6,it is said that,reportedly,
2870,捐,juān,6,to contribute,"to donate, contribution, tax, to abandon",
2871,捐款,juānkuǎn,6,to donate money,"to contribute funds, donation, contribution (of money)",
2872,卷,juǎn,6,to roll (up),"to sweep up, to carry on, roll",Duplicate Pinyin
2873,捲,juǎn,6,to roll (up),"to sweep up, to carry on, roll",Duplicate Pinyin
2874,決心,juéxīn,6,determination,"resolution, determined, firm and resolute, to make up one's mind, CL:個|个[ge4]",
2875,絕不,juébù,6,in no way,"not in the least, absolutely not",
2876,絕大部分,juédàbùfèn,6,overwhelming majority,,
2877,覺悟,juéwù,6,to come to understand,"to realize, consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda)",
2878,軍事,jūnshì,6,military affairs,"military matters, military",
2879,卡通,kǎtōng,6,cartoon (loanword),,
2880,開除,kāichú,6,to expel,,
2881,開刀,kāidāo,6,(of a surgeon) to perform an operation,"(of a patient) to have an operation, to decapitate, to behead, to single out as a point of attack",
2882,開發,kāifā,6,to exploit (a resource),"to open up (for development), to develop",
2883,開戶,kāihù,6,to open an account (bank etc),,
2884,開課,kāikè,6,school begins,"give a course, teach a subject",
2885,開明,kāimíng,6,enlightened,"open-minded, enlightenment",
2886,開設,kāishè,6,to offer (goods or services),to open (for business etc),
2887,開拓,kāituò,6,to break new ground (for agriculture),"to open up (a new seam), to develop (border regions), fig. to open up (new horizons)",
2888,開演,kāiyǎn,6,"(of a play, movie etc) to begin",,
2889,看家,kānjiā,6,to look after the house,"(of skill, ability) special, outstanding",
2890,砍,kǎn,6,to chop,"to cut down, to throw sth at sb",
2891,看得起,kàndeqǐ,6,to show respect for,to think highly of,
2892,看看,kànkan,6,to take a look at,"to examine, to survey, (coll.) pretty soon",
2893,看來,kànlái,6,apparently,it seems that,
2894,看樣子,kànyàngzi,6,it seems,it looks as if,
2895,抗議,kàngyì,6,to protest,protest,
2896,考察,kǎochá,6,to inspect,"to observe and study, on-the-spot investigation",
2897,考卷,kǎojuàn,6,exam paper,,
2898,考慮,kǎolǜ,6,to think over,"to consider, consideration",
2899,考取,kǎoqǔ,6,to pass an entrance exam,to be admitted to,
2900,靠近,kàojìn,6,near,to approach,
2901,科目,kēmù,6,subject,,
2902,顆,kē,6,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",,Duplicate Pinyin
2903,可喜,kěxǐ,6,making one happy,"gratifying, heartening",
2904,可笑,kěxiào,6,funny,ridiculous,
2905,客房,kèfáng,6,guest room,,
2906,客觀,kèguān,6,objective,impartial,
2907,客戶,kèhù,6,client,customer,
2908,課外,kèwài,6,extracurricular,,
2909,空前,kōngqián,6,unprecedented,,
2910,空中,kōngzhōng,6,in the sky,in the air,
2911,恐怖,kǒngbù,6,terrible,"frightful, frightening, terror, terrorist",
2912,控制,kòngzhì,6,control,"to exercise control over, to contain",
2913,口才,kǒucái,6,eloquence,,
2914,口號,kǒuhào,6,slogan,"catchphrase, CL:個|个[ge4]",
2915,口紅,kǒuhóng,6,lipstick,,
2916,口氣,kǒuqì,6,tone of voice,"the way one speaks, manner of expression, tone",
2917,口試,kǒushì,6,oral examination,oral test,
2918,口水,kǒushuǐ,6,saliva,,
2919,口音,kǒuyīn,6,oral speech sounds (linguistics),"voice, accent",
2920,口語,kǒuyǔ,6,colloquial speech,"spoken language, vernacular language, slander, gossip, CL:門|门[men2]",
2921,扣,kòu,6,button,,
2922,誇獎,kuājiǎng,6,to praise,"to applaud, to compliment",
2923,跨,kuà,6,to step across,"to stride over, to straddle, to span",
2924,會計,kuàijì,6,accountant,"accountancy, accounting",
2925,寬度,kuāndù,6,width,,
2926,喇叭,lǎba,6,horn (automobile etc),"loudspeaker, brass wind instrument, trumpet, suona 鎖吶|锁呐[suo3 na4]",
2927,蠟燭,làzhú,6,candle,"CL:根[gen1],支[zhi1]",
2928,辣椒,làjiāo,6,hot pepper,chili,
2929,來回,láihuí,6,to make a round trip,"return journey, back and forth, to and fro, repeatedly",
2930,來臨,láilín,6,to approach,to come closer,
2931,來往,láiwǎng,6,to come and go,"to have dealings with, to be in relation with",
2932,來信,láixìn,6,incoming letter,send a letter here,
2933,來源,láiyuán,6,source (of information etc),origin,
2934,來自,láizì,6,to come from (a place),From: (in email header),
2935,籃子,lánzi,6,basket,CL:隻|只[zhi1],
2936,懶,lǎn,6,lazy,,
2937,懶得,lǎnde,6,not to feel like (doing sth),disinclined to,
2938,爛,làn,6,soft,"mushy, well-cooked and soft, to rot, to decompose, rotten, worn out, chaotic, messy, utterly, thoroughly, crappy, bad",
2939,濫用,lànyòng,6,to misuse,to abuse,
2940,狼,láng,6,wolf,"CL:匹[pi3],隻|只[zhi1],條|条[tiao2]",
2941,浪費,làngfèi,6,to waste,to squander,
2942,撈,lāo,6,to fish up,to dredge up,
2943,牢,láo,6,firm,"sturdy, fold (for animals), sacrifice, prison",
2944,牢騷,láosāo,6,discontent,"complaint, to complain",
2945,勞動,láodòng,6,work,"toil, physical labor, CL:次[ci4]",
2946,勞工,láogōng,6,labor,laborer,
2947,勞力,láolì,6,labor,"able-bodied worker, laborer, work force",
2948,嘮叨,láodao,6,to prattle,"to chatter away, to nag, garrulous, nagging",
2949,老百姓,lǎobǎixìng,6,ordinary people,"the ""person in the street"", CL:個|个[ge4]",
2950,老闆娘,lǎobǎnniáng,6,female proprietor,"lady boss, boss's wife",
2951,老大,lǎodà,6,old age,"very, eldest child in a family, leader of a group, boss, captain of a boat, leader of a criminal gang",
2952,老家,lǎojiā,6,native place,"place of origin, home state or region",
2953,老實說,lǎoshíshuō,6,honestly speaking,"to be frank, ...",
2954,老太太,lǎotàitai,6,elderly lady (respectful),"esteemed mother, CL:位[wei4]",
2955,樂意,lèyì,6,to be willing to do sth,"to be ready to do sth, to be happy to do sth, content, satisfied",
2956,類似,lèisì,6,similar,analogous,
2957,冷靜,lěngjìng,6,calm,cool-headed,
2958,冷飲,lěngyǐn,6,cold drink,,
2959,梨,lí,6,pear,CL:個|个[ge4],Duplicate Pinyin
2960,理由,lǐyóu,6,reason,"grounds, justification, CL:個|个[ge4]",
2961,禮品,lǐpǐn,6,gift,present,
2962,力氣,lìqi,6,strength,CL:把[ba3],
2963,立場,lìchǎng,6,position,"standpoint, CL:個|个[ge4]",
2964,立即,lìjí,6,immediately,,
2965,利潤,lìrùn,6,profits,,
2966,利息,lìxí,6,interest (on a loan),CL:筆|笔[bi3],
2967,例外,lìwài,6,exception,to be an exception,
2968,粒,lì,6,grain,"granule, classifier for small round things (peas, bullets, peanuts, pills, grains etc)",
2969,聯合,liánhé,6,to combine,"to join, unite, alliance",
2970,聯合國,liánhéguó,6,United Nations,,
2971,連接,liánjiē,6,to link,"to join, to attach, connection, a link (on web page)",
2972,連忙,liánmáng,6,promptly,at once,
2973,連續,liánxù,6,continuous,"in a row, serial, consecutive",
2974,臉色,liǎnsè,6,complexion,look,
2975,糧食,liángshí,6,foodstuff,"cereals, CL:種|种[zhong3]",
2976,倆,liǎng,6,two (colloquial equivalent of 兩個|两个),"both, some",Duplicate Pinyin
2977,諒解,liàngjiě,6,to understand,"to make allowances for, understanding",
2978,裂,liè,6,to split,"to crack, to break open, to rend",
2979,臨時,línshí,6,as the time draws near,"at the last moment, temporary, interim, ad hoc",
2980,凌晨,língchén,6,very early in the morning,in the wee hours,
2981,靈活,línghuó,6,flexible,"nimble, agile",
2982,零件,língjiàn,6,part,component,
2983,零售,língshòu,6,to retail,to sell individually or in small quantities,
2984,零下,língxià,6,below zero,,
2985,領帶,lǐngdài,6,necktie,CL:條|条[tiao2],
2986,領土,lǐngtǔ,6,territory,,
2987,領先,lǐngxiān,6,to lead,to be in front,
2988,領袖,lǐngxiù,6,leader,"CL:個|个[ge4],位[wei4],名[ming2]",
2989,另,lìng,6,other,"another, separate, separately",Duplicate Pinyin
2990,另外,lìngwài,6,additional,"in addition, besides, separate, other, moreover, furthermore",
2991,溜,liū,6,to slip away,"to escape in stealth, to skate",
2992,流動,liúdòng,6,to flow,"to circulate, to go from place to place, to be mobile, (of assets) liquid",
2993,流利,liúlì,6,fluent,,
2994,留念,liúniàn,6,to keep as a souvenir,to recall fondly,
2995,嘍,lóu,6,subordinates in gang of bandits,"(final particle equivalent to 了[le5]), (particle calling attention to, or mildly warning of, a situation)",Duplicate Pinyin
2996,摟,lǒu,6,to draw towards oneself,"to gather, to gather up (one's gown, sleeves etc), to grab (money), to extort, to hug, to embrace, to hold in one's arms",
2997,路燈,lùdēng,6,street lamp,street light,
2998,路線,lùxiàn,6,itinerary,"route, political line (e.g. right revisionist road), CL:條|条[tiao2]",
2999,陸軍,lùjūn,6,army,ground forces,
3000,陸續,lùxù,6,in turn,"successively, one after the other, bit by bit",
3001,錄用,lùyòng,6,to hire (an employee),,
3002,輪船,lúnchuán,6,steamship,"steamer, ocean liner, ship, CL:艘[sou1]",
3003,輪流,lúnliú,6,to alternate,to take turns,
3004,輪子,lúnzi,6,wheel,CL:個|个[ge4],
3005,論文,lùnwén,6,paper,"treatise, thesis, to discuss a paper or thesis (old), CL:篇[pian1]",
3006,落後,luòhòu,6,to fall behind,"to lag (in technology etc), backward, to retrogress",
3007,落實,luòshí,6,practical,"workable, to implement, to carry out, to decide",
3008,落伍,luòwǔ,6,to fall behind the ranks,to be outdated,
3009,旅行社,lǚxíngshè,6,travel agency,,
3010,綠豆,lǜdòu,6,mung bean,,
3011,麻雀,máquè,6,sparrow,(dialect) mahjong,
